Date : 2023-10-11 16:46:33
Directory : /Users/tj.wetmore/Code/darta/monorepo
Total : 2669 files,  287201 codes, 78956 comments, 51433 blanks, all 417590 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/CHANGELOG.md                                                                                  | Markdown           |      5,641 |          0 |      2,031 |      7,672 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/README.md                                                                                     | Markdown           |         65 |          0 |         18 |         83 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods.rb                                                                              | Ruby               |         59 |         10 |         10 |         79 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command.rb                                                                      | Ruby               |        119 |         45 |         22 |        186 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/cache.rb                                                                | Ruby               |         23 |          0 |          6 |         29 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/cache/clean.rb                                                          | Ruby               |         67 |         12 |         12 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/cache/list.rb                                                           | Ruby               |         54 |          8 |          8 |         70 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/env.rb                                                                  | Ruby               |         46 |          6 |         15 |         67 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/init.rb                                                                 | Ruby               |         82 |         23 |         18 |        123 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/install.rb                                                              | Ruby               |         46 |          0 |         11 |         57 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc.rb                                                                  | Ruby               |         17 |          0 |          3 |         20 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/list.rb                                                             | Ruby               |         39 |          0 |          2 |         41 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/podfile.rb                                                          | Ruby               |         27 |          0 |          5 |         32 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/podfile_json.rb                                                     | Ruby               |         26 |          0 |          5 |         31 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/repl.rb                                                             | Ruby               |         44 |          0 |          8 |         52 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/spec.rb                                                             | Ruby               |         26 |          0 |          4 |         30 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc/update_search_index.rb                                              | Ruby               |         23 |          0 |          2 |         25 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/lib.rb                                                                  | Ruby               |         10 |          0 |          2 |         12 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/lib/create.rb                                                           | Ruby               |         70 |         19 |         16 |        105 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/lib/lint.rb                                                             | Ruby               |        125 |          8 |         13 |        146 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/list.rb                                                                 | Ruby               |         30 |          1 |          7 |         38 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/options/project_directory.rb                                            | Ruby               |         31 |          2 |          4 |         37 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/options/repo_update.rb                                                  | Ruby               |         29 |          2 |          4 |         35 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/outdated.rb                                                             | Ruby               |        131 |          4 |         17 |        152 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo.rb                                                                 | Ruby               |         22 |          3 |          6 |         31 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/add.rb                                                             | Ruby               |         75 |         16 |         12 |        103 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/add_cdn.rb                                                         | Ruby               |         47 |          4 |          8 |         59 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/lint.rb                                                            | Ruby               |         65 |          7 |         11 |         83 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/list.rb                                                            | Ruby               |         52 |         33 |         10 |         95 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/push.rb                                                            | Ruby               |        214 |         57 |         37 |        308 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/remove.rb                                                          | Ruby               |         31 |          0 |          6 |         37 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo/update.rb                                                          | Ruby               |         29 |          4 |          7 |         40 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/setup.rb                                                                | Ruby               |         14 |          1 |          4 |         19 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec.rb                                                                 | Ruby               |         75 |         25 |         22 |        122 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec/cat.rb                                                             | Ruby               |         46 |          0 |          8 |         54 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec/create.rb                                                          | Ruby               |        123 |         99 |         62 |        284 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec/edit.rb                                                            | Ruby               |         67 |          8 |         13 |         88 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec/lint.rb                                                            | Ruby               |        139 |          0 |         12 |        151 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec/which.rb                                                           | Ruby               |         39 |          0 |          7 |         46 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/update.rb                                                               | Ruby               |         83 |          4 |         18 |        105 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/config.rb                                                                       | Ruby               |        168 |        136 |         63 |        367 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/core_overrides.rb                                                               | Ruby               |          1 |          0 |          1 |          2 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/downloader.rb                                                                   | Ruby               |        100 |         73 |         20 |        193 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/downloader/cache.rb                                                             | Ruby               |        152 |        144 |         27 |        323 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/downloader/request.rb                                                           | Ruby               |         36 |         41 |         10 |         87 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/downloader/response.rb                                                          | Ruby               |          5 |         11 |          1 |         17 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/executable.rb                                                                   | Ruby               |        129 |         96 |         23 |        248 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources.rb                                                             | Ruby               |         29 |         25 |          4 |         58 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources/abstract_external_source.rb                                    | Ruby               |        104 |         78 |         24 |        206 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources/downloader_source.rb                                           | Ruby               |         19 |         10 |          2 |         31 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources/path_source.rb                                                 | Ruby               |         35 |         14 |          7 |         56 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources/podspec_source.rb                                              | Ruby               |         36 |         14 |          5 |         55 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/gem_version.rb                                                                  | Ruby               |          3 |          2 |          1 |          6 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/acknowledgements.rb                                                   | Ruby               |         51 |         40 |         17 |        108 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/acknowledgements/markdown.rb                                          | Ruby               |         37 |          2 |          6 |         45 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/acknowledgements/plist.rb                                             | Ruby               |         67 |         12 |         16 |         95 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/app_target_helper.rb                                                  | Ruby               |        186 |        151 |         27 |        364 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/bridge_support.rb                                                     | Ruby               |         18 |          0 |          5 |         23 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/constant.rb                                                           | Ruby               |         15 |          2 |          3 |         20 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/copy_dsyms_script.rb                                                  | Ruby               |         29 |         23 |          5 |         57 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/copy_resources_script.rb                                              | Ruby               |        158 |         42 |         24 |        224 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/copy_xcframework_script.rb                                            | Ruby               |        152 |         43 |         33 |        228 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/dummy_source.rb                                                       | Ruby               |         25 |          3 |          4 |         32 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/embed_frameworks_script.rb                                            | Ruby               |        129 |         44 |         24 |        197 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/file_list.rb                                                          | Ruby               |         16 |         20 |          4 |         40 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/header.rb                                                             | Ruby               |         51 |         41 |         12 |        104 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/info_plist_file.rb                                                    | Ruby               |         82 |         31 |         16 |        129 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/module_map.rb                                                         | Ruby               |         60 |         29 |         11 |        100 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/prefix_header.rb                                                      | Ruby               |         25 |         29 |          7 |         61 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/script_phase_constants.rb                                             | Ruby               |         77 |         15 |          9 |        101 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/umbrella_header.rb                                                    | Ruby               |         21 |         19 |          7 |         47 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/hooks_manager.rb                                                                | Ruby               |         53 |         68 |         12 |        133 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer.rb                                                                    | Ruby               |        580 |        320 |        145 |      1,045 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer.rb                                                           | Ruby               |        713 |        396 |         96 |      1,205 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/analysis_result.rb                                           | Ruby               |         45 |         30 |         13 |         88 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/locking_dependency_analyzer.rb                               | Ruby               |         61 |         30 |         13 |        104 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/pod_variant.rb                                               | Ruby               |         39 |         38 |         11 |         88 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/pod_variant_set.rb                                           | Ruby               |        105 |         56 |         15 |        176 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/podfile_dependency_cache.rb                                  | Ruby               |         32 |         18 |          6 |         56 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/sandbox_analyzer.rb                                          | Ruby               |         95 |        140 |         34 |        269 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/specs_state.rb                                               | Ruby               |         57 |         39 |         13 |        109 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/target_inspection_result.rb                                  | Ruby               |         24 |         27 |          8 |         59 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer/target_inspector.rb                                          | Ruby               |        139 |         95 |         25 |        259 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/base_install_hooks_context.rb                                         | Ruby               |         50 |         70 |         16 |        136 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/installation_options.rb                                               | Ruby               |         63 |        110 |         23 |        196 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/pod_source_installer.rb                                               | Ruby               |        102 |         87 |         36 |        225 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/pod_source_preparer.rb                                                | Ruby               |         36 |         29 |         13 |         78 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/podfile_validator.rb                                                  | Ruby               |        100 |         43 |         26 |        169 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/post_install_hooks_context.rb                                         | Ruby               |          6 |          3 |          1 |         10 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/post_integrate_hooks_context.rb                                       | Ruby               |          6 |          3 |          1 |         10 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/pre_install_hooks_context.rb                                          | Ruby               |         19 |         27 |          6 |         52 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/pre_integrate_hooks_context.rb                                        | Ruby               |          6 |          3 |          1 |         10 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_cache.rb                                        | Ruby               |         11 |          0 |          1 |         12 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_cache_analysis_result.rb                        | Ruby               |         21 |         27 |          6 |         54 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_cache_analyzer.rb                               | Ruby               |        129 |         42 |         30 |        201 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_cache_version.rb                                | Ruby               |         20 |         20 |          4 |         44 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_installation_cache.rb                           | Ruby               |         64 |         25 |         15 |        104 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/project_metadata_cache.rb                               | Ruby               |         39 |         27 |          8 |         74 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/target_cache_key.rb                                     | Ruby               |        100 |         60 |         17 |        177 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache/target_metadata.rb                                      | Ruby               |         33 |         34 |          8 |         75 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/sandbox_dir_cleaner.rb                                                | Ruby               |         70 |         18 |         18 |        106 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/sandbox_header_paths_installer.rb                                     | Ruby               |         27 |         12 |          7 |         46 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/source_provider_hooks_context.rb                                      | Ruby               |         19 |         12 |          4 |         35 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/target_uuid_generator.rb                                              | Ruby               |         24 |          9 |          2 |         35 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator.rb                                            | Ruby               |        138 |        113 |         30 |        281 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator/target_integrator.rb                          | Ruby               |        439 |        301 |         76 |        816 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator/target_integrator/xcconfig_integrator.rb      | Ruby               |         87 |         78 |         15 |        180 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode.rb                                                              | Ruby               |         11 |          0 |          1 |         12 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/multi_pods_project_generator.rb                                 | Ruby               |         59 |         13 |         11 |         83 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator.rb                                       | Ruby               |        178 |         81 |         33 |        292 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/aggregate_target_dependency_installer.rb | Ruby               |         40 |         20 |          7 |         67 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/aggregate_target_installer.rb            | Ruby               |        105 |         73 |         15 |        193 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/app_host_installer.rb                    | Ruby               |         90 |         45 |         20 |        155 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/file_references_installer.rb             | Ruby               |        171 |        120 |         39 |        330 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/pod_target_dependency_installer.rb       | Ruby               |        153 |         23 |         20 |        196 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/pod_target_installer.rb                  | Ruby               |        776 |        339 |        125 |      1,240 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/pod_target_integrator.rb                 | Ruby               |        196 |         78 |         39 |        313 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/pods_project_writer.rb                   | Ruby               |         53 |         26 |         12 |         91 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/project_generator.rb                     | Ruby               |         69 |         38 |         14 |        121 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/target_installation_result.rb            | Ruby               |         62 |         62 |         17 |        141 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/target_installer.rb                      | Ruby               |        117 |        105 |         36 |        258 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator/target_installer_helper.rb               | Ruby               |         45 |         59 |          7 |        111 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator_result.rb                                | Ruby               |         29 |         19 |          7 |         55 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/single_pods_project_generator.rb                                | Ruby               |         28 |          6 |          5 |         39 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/target_validator.rb                                             | Ruby               |        125 |         22 |         24 |        171 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/native_target_extension.rb                                                      | Ruby               |         29 |         26 |          6 |         61 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/open-uri.rb                                                                     | Ruby               |          7 |         24 |          3 |         34 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/podfile.rb                                                                      | Ruby               |          9 |          2 |          3 |         14 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/project.rb                                                                      | Ruby               |        220 |        266 |         59 |        545 |
| /Users/tj.wetmore/Code/darta/monorepo/vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/resolver.rb                                                                     | Ruby               |        317 |        209 |         75 |        601 |
